ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"143.208.59.2","elite","AS22869","GT","Comunicaciones Metropolitanas Cablecolor","149","Canal Antigua S.A","999","http","24685","100","7","7","2025-01-14T11:48:55.706Z","740"
"147.182.180.242","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","80","http","25695","87","13","15","2025-01-14T11:47:40.703Z","269"
"27.147.142.17","transparent","AS23688","BD","Link3 Technologies Limited","189","Corporate Subscriber","58080","http","7803","100","15","15","2025-01-14T11:45:30.998Z","304"
"51.89.255.67","elite","AS16276","GB","OVH SAS","13","LGardner Abbie","80","http","24306","100","65","65","2025-01-14T11:45:13.094Z","644"
"82.64.186.155","elite","AS12322","FR","ProXad network / Free SA","4","Free","8080","http","163000","100","13","13","2025-01-14T11:43:06.905Z","440"
"89.116.34.113","elite","AS47583","IN","HOSTINGER IN","115","N/A","80","http","24287","100","15","15","2025-01-14T11:42:49.792Z","884"
"165.16.5.57","transparent","AS37284","LY","Aljeel Aljadeed Technology","86","organization:Digital Link Company","1976","http","17398","97","214","221","2025-01-14T11:38:52.793Z","909"
"209.97.150.167","elite","AS14061","US","DigitalOcean, LLC","91","DigitalOcean, LLC","3128","http","55516","69","9","13","2025-01-14T11:38:52.797Z","364"
"47.236.231.113","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","244","Alibaba.com LLC","8888","http","18599","87","13","15","2025-01-14T11:38:52.698Z","261"
"176.105.220.74","transparent","AS24812","UA","NPK Home-Net Ltd.","63","NPK Home-Net Ltd","3129","http","1006","99","1521","1530","2025-01-14T11:34:27.998Z","2482"
"178.48.68.61","transparent","AS21334","HU","UPC","40","UPC Magyarorszag Kft.","18080","http","19307","94","399","423","2025-01-14T11:31:31.901Z","305"
"103.90.67.35","transparent","AS150265","ID","PT Rajawali Bintang Cemerlang Telkomedia","192","N/A","8080","http","93535","78","7","9","2025-01-14T11:31:10.805Z","460"
"177.19.167.242","elite","AS18881","BR","Vivo","247","Saint Louis Participações LTDA","80","http","81702","100","14","14","2025-01-14T11:30:43.201Z","2109"
"67.43.227.226","elite","AS36666","CA","GloboTech Communications","85","N/A","18581","http","25902","100","14","14","2025-01-14T11:29:03.197Z","401"
"51.161.56.52","elite","AS16276","CA","OVH SAS","86","OVH Hosting, Inc","80","http","20092","100","7","7","2025-01-14T11:28:35.304Z","889"
"78.28.152.113","elite","AS43752","BA","Ministry of Science and Technology Development and Higher Education","80","N/A","80","http","22314","100","6","6","2025-01-14T11:25:26.398Z","1004"
"97.74.87.226","elite","AS26496","SG","GoDaddy.com, LLC","190","GoDaddy.com, LLC","80","http","19697","78","7","9","2025-01-14T11:23:47.405Z","545"
"87.126.65.11","transparent","AS8866","BG","Vivacom Bulgaria EAD","54","Bulgarian Telecommunications Company Plc","1388","http","10894","100","22","22","2025-01-14T11:23:25.209Z","1996"
"200.61.16.80","transparent","N/A","AR","Silica Networks Argentina S.A","232","N/A","8080","http","20808","100","45","45","2025-01-14T11:21:50.597Z","1097"
"198.49.68.80","elite","AS33182","US","HostDime.com, Inc.","108","HostDime.com, Inc.","80","http","20301","85","11","13","2025-01-14T11:21:21.403Z","325"
"51.254.78.223","elite","AS16276","IE","OVH SAS","6","OVH Hosting Limited","80","http","20797","100","14","14","2025-01-14T11:21:21.401Z","330"
"49.49.22.221","transparent","AS45758","TH","Triple T Broadband Public Company Limited","219","Triple T Broadband Public Company Limited","8080","http","20799","100","14","14","2025-01-14T11:21:21.397Z","1387"
"194.124.37.12","transparent","AS202561","TR","High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.","68","HighSpeedTelekomunikasyon","8080","http","192","97","58","60","2025-01-14T11:19:21.491Z","2303"
